date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:36:05	633/633	---MCZ	200	added ('OK')	text/plain	date:Thu,%2022%20Jan%202026%2011:36:05%20GMT	https://demo.tailadmin.com/robots.txt		(from )
16:36:05	164728/164728	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Jan%202026%2011:36:05%20GMT	https://demo.tailadmin.com/	C:/My%20Web%20Sites/tailwind%20dashboard/demo.tailadmin.com/index.html	(from )
16:36:06	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%227a9accd6f497f300bfb3691cea8d4443%22	https://demo.tailadmin.com/favicon.ico	C:/My%20Web%20Sites/tailwind%20dashboard/demo.tailadmin.com/favicon.ico	(from https://demo.tailadmin.com/)
16:36:06	251738/251738	---MCZ	200	added ('OK')	text/css	etag:W/%22f10b211596d22e5fe8098b48a5cc5d70%22	https://demo.tailadmin.com/style.css	C:/My%20Web%20Sites/tailwind%20dashboard/demo.tailadmin.com/style.css	(from https://demo.tailadmin.com/)
16:36:06	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Thu,%2022%20Jan%202026%2011:36:06%20GMT	https://demo.tailadmin.com/cdn-cgi/zaraz/s.js?z=	C:/My%20Web%20Sites/tailwind%20dashboard/demo.tailadmin.com/cdn-cgi/zaraz/sd0d9.js	(from https://demo.tailadmin.com/)
16:36:06	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2022%20Jan%202026%2011:36:06%20GMT	https://demo.tailadmin.com/index.html	C:/My%20Web%20Sites/tailwind%20dashboard/demo.tailadmin.com/index-2.html	(from https://demo.tailadmin.com/)
16:36:06	6391/6391	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2203ae62102e04618d182ee50f912ac228%22	https://demo.tailadmin.com/src/images/logo/logo.svg	C:/My%20Web%20Sites/tailwind%20dashboard/demo.tailadmin.com/src/images/logo/logo.svg	(from https://demo.tailadmin.com/)
16:36:07	6302/6302	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b92776bde35ff40cdd3aee4f69381484%22	https://demo.tailadmin.com/src/images/logo/logo-dark.svg	C:/My%20Web%20Sites/tailwind%20dashboard/demo.tailadmin.com/src/images/logo/logo-dark.svg	(from https://demo.tailadmin.com/)
16:36:07	3424/3424	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f6b86ceb025672f822c6b69c5a27236b%22	https://demo.tailadmin.com/src/images/logo/logo-icon.svg	C:/My%20Web%20Sites/tailwind%20dashboard/demo.tailadmin.com/src/images/logo/logo-icon.svg	(from https://demo.tailadmin.com/)
16:36:07	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2022%20Jan%202026%2011:36:07%20GMT	https://demo.tailadmin.com/index.html	C:/My%20Web%20Sites/tailwind%20dashboard/demo.tailadmin.com/index-2.html	(from https://demo.tailadmin.com/)
